date,crisis_open,crisis_close,crisis_min,crisis_max,crisis_mean,crisis_band,forecast_open,forecast_close,forecast_min,forecast_max,forecast_mean,forecast_band
2026-06-03,94,94,94,94,94,extreme,62,62,62,62,62,high
2026-06-04,94,94,94,94,94,extreme,62,62,62,62,62,high
2026-06-05,94,94,94,94,94,extreme,62,62,62,62,62,high
2026-06-06,94,94,94,94,94,extreme,62,62,62,62,62,high
2026-06-07,94,94,94,94,94,extreme,62,62,62,62,62,high
2026-06-08,94,94,94,94,94,extreme,62,68,62,68,66.7,high
2026-06-09,94,94,94,94,94,extreme,68,68,68,68,68,high
2026-06-10,94,94,94,94,94,extreme,68,68,68,68,68,high
2026-06-11,94,94,94,94,94,extreme,68,68,68,68,68,high
2026-06-12,94,94,94,94,94,extreme,68,68,68,68,68,high
2026-06-13,94,94,94,94,94,extreme,68,68,68,68,68,high
2026-06-14,94,94,94,94,94,extreme,68,68,68,68,68,high
2026-06-15,94,93,93,94,93.7,extreme,68,63,63,68,66.9,high
2026-06-16,93,92,92,93,92.1,extreme,63,57,57,63,59.9,elevated
2026-06-17,92,92,92,92,92,extreme,57,53,53,57,55.2,elevated
2026-06-18,92,92,92,92,92,extreme,53,52,52,53,52.1,elevated
2026-06-19,92,92,92,92,92,extreme,52,55,52,55,53.9,elevated
2026-06-20,92,92,92,92,92,extreme,55,58,54,59,57.8,elevated
2026-06-21,92,92,92,92,92,extreme,58,59,57,60,58.7,elevated
2026-06-22,92,92,92,92,92,extreme,59,61,58,62,60.4,high
2026-06-23,92,91,91,92,91.7,extreme,61,62,59,63,60.2,high
2026-06-24,91,90,90,91,90.1,extreme,62,69,60,70,62.5,high
2026-06-25,90,90,90,90,90,extreme,69,64,64,69,66.4,high
2026-06-26,90,90,90,90,90,extreme,64,67,64,74,69.6,high
2026-06-27,90,90,90,90,90,extreme,67,66,65,67,65.6,high
2026-06-28,90,90,90,90,90,extreme,66,68,66,70,68.7,high
2026-06-29,90,90,90,90,90,extreme,68,70,67,71,68.9,high
2026-06-30,90,90,90,90,90,extreme,70,64,64,70,66.5,high
2026-07-01,90,89,89,90,89.8,extreme,64,59,59,64,61,elevated
2026-07-02,89,86,86,89,87.4,extreme,59,58,58,59,58.3,elevated
2026-07-03,86,84,84,86,84.7,extreme,58,58,56,59,58,elevated
2026-07-04,84,84,84,84,84,extreme,58,61,58,61,60.4,high
2026-07-05,84,86,84,86,84,extreme,61,62,60,64,61.8,high
2026-07-06,86,87,84,87,85.5,extreme,62,66,62,66,63.6,high
2026-07-07,87,90,87,90,89.3,extreme,66,65,65,67,66.4,high
2026-07-08,90,89,89,90,89.6,extreme,65,64,64,65,64.8,high
2026-07-09,89,89,88,89,88.7,extreme,64,61,61,64,62.6,high
2026-07-10,89,87,87,89,88.5,extreme,61,61,61,61,61,high
2026-07-11,87,87,85,87,86.3,extreme,61,61,61,61,61,high
2026-07-12,87,86,86,87,86.1,extreme,61,61,61,61,61,high
2026-07-13,86,90,86,90,88.9,extreme,61,62,61,62,61.2,high
2026-07-14,90,91,89,91,90.3,extreme,62,65,62,66,63.9,high
2026-07-15,91,91,91,91,91,extreme,65,64,64,65,64.6,high
2026-07-16,91,91,91,91,91,extreme,64,76,64,78,68.4,high
2026-07-17,91,92,91,92,91.4,extreme,76,69,69,76,73.2,high
2026-07-18,92,91,91,92,91.7,extreme,69,60,60,69,64.2,high
2026-07-19,91,91,91,91,91,extreme,60,59,57,60,58.4,elevated
2026-07-20,91,91,91,91,91,extreme,59,59,59,59,59,elevated
