timestamp_iso,crisis_pressure,crisis_band,escalation_forecast,forecast_band
2026-07-18T14:51:05.779Z,92,extreme,63,high
2026-07-18T14:56:11.931Z,92,extreme,63,high
2026-07-18T15:01:04.139Z,92,extreme,63,high
2026-07-18T15:06:05.785Z,92,extreme,63,high
2026-07-18T15:11:05.293Z,92,extreme,63,high
2026-07-18T15:16:04.114Z,92,extreme,63,high
2026-07-18T15:21:09.347Z,92,extreme,63,high
2026-07-18T15:26:05.293Z,92,extreme,63,high
2026-07-18T15:31:04.527Z,92,extreme,63,high
2026-07-18T15:36:04.047Z,92,extreme,63,high
2026-07-18T15:41:04.960Z,92,extreme,63,high
2026-07-18T15:46:11.414Z,92,extreme,63,high
2026-07-18T15:51:12.781Z,92,extreme,63,high
2026-07-18T15:56:05.499Z,92,extreme,63,high
2026-07-18T16:01:06.237Z,92,extreme,63,high
2026-07-18T16:06:05.652Z,92,extreme,63,high
2026-07-18T16:11:07.370Z,92,extreme,63,high
2026-07-18T16:16:14.041Z,92,extreme,63,high
2026-07-18T16:21:04.439Z,92,extreme,62,high
2026-07-18T16:26:07.955Z,92,extreme,62,high
2026-07-18T16:31:06.544Z,92,extreme,62,high
2026-07-18T16:36:11.771Z,92,extreme,62,high
2026-07-18T16:41:04.185Z,92,extreme,62,high
2026-07-18T16:46:04.529Z,92,extreme,62,high
2026-07-18T16:51:04.012Z,92,extreme,62,high
2026-07-18T16:56:08.776Z,92,extreme,62,high
2026-07-18T17:01:03.177Z,92,extreme,62,high
2026-07-18T17:06:09.273Z,91,extreme,62,high
2026-07-18T17:11:09.573Z,91,extreme,62,high
2026-07-18T17:16:06.710Z,91,extreme,62,high
2026-07-18T17:21:03.132Z,91,extreme,62,high
2026-07-18T17:26:10.295Z,91,extreme,62,high
2026-07-18T17:31:12.188Z,91,extreme,62,high
2026-07-18T17:36:05.503Z,91,extreme,62,high
2026-07-18T17:41:04.528Z,91,extreme,62,high
2026-07-18T17:46:06.406Z,91,extreme,62,high
2026-07-18T17:51:03.738Z,91,extreme,62,high
2026-07-18T17:56:05.527Z,91,extreme,62,high
2026-07-18T18:01:04.405Z,91,extreme,62,high
2026-07-18T18:06:03.949Z,91,extreme,62,high
2026-07-18T18:11:08.098Z,91,extreme,62,high
2026-07-18T18:16:04.636Z,91,extreme,62,high
2026-07-18T18:21:04.729Z,91,extreme,62,high
2026-07-18T18:26:05.125Z,91,extreme,62,high
2026-07-18T18:31:04.324Z,91,extreme,62,high
2026-07-18T18:36:04.467Z,91,extreme,62,high
2026-07-18T18:41:04.474Z,91,extreme,62,high
2026-07-18T18:46:04.424Z,91,extreme,62,high
2026-07-18T18:51:06.157Z,91,extreme,62,high
2026-07-18T18:56:09.702Z,91,extreme,62,high
2026-07-18T19:01:03.666Z,91,extreme,62,high
2026-07-18T19:06:05.422Z,91,extreme,62,high
2026-07-18T19:11:07.293Z,91,extreme,62,high
2026-07-18T19:16:04.829Z,91,extreme,62,high
2026-07-18T19:21:04.099Z,91,extreme,62,high
